layers,mean_accuracy,sd_accuracy,mean_f1,sd_f1,mean_precision,sd_precision,mean_recall,sd_recall,mean_epochs_run,mean_training_time
1,0.8438000000000001,0.05203348610528478,0.4578650954013820,0.07806155125846234,0.6030541402858954,0.1391091640083992,0.5733274634628007,0.059044827569878694,17.8,52.31067659854889
2,0.8264666666666667,0.07335708182613757,0.5501947466107051,0.07697330369913646,0.588422550566712,0.17033410592769352,0.5545633067862566,0.08047354752892803,15.2,87.52003090381622
3,0.8353333333333334,0.05947497773585445,0.5554935766895339,0.0849190989713054,0.5817159694480548,0.15173075774665473,0.5529655849312552,0.05383997924702526,14.6,110.47784209251404
4,0.8353555555555555,0.027476679225018584,0.5187288792436388,0.030949871861796308,0.5769520034039591,0.08410281278339563,0.4830286309903614,0.05452672591775345,14.7,134.87423279285431
5,0.8250666666666667,0.06699022716023156,0.5379238084722184,0.07036186040501188,0.564475994980876,0.14626879891842637,0.5391799152727274,0.046987239359295496,14.6,141.9818293571472
6,0.7898444444444445,0.14098147248128176,0.4982115160505106,0.07785382130187118,0.5598573579954775,0.2061677310221792,0.5261540411825615,0.12894374573642955,12.6,175.87788882255555
7,0.7176444444444445,0.16316674800436817,0.4454565121100546,0.08593446242623,0.4370929471890543,0.18389455181890135,0.5550089879349251,0.1399655799021579,12.6,193.36435387134551
8,0.5022888888888889,0.16157068721909285,0.3400690910392275,0.038784883809165324,0.24010894665829427,0.07289529126438683,0.7013641410570428,0.16730668036653482,9.2,161.69884786605834
9,0.4252666666666666,0.11068114586225929,0.324256668846648,0.005895065508852199,0.20850891017071058,0.015486627946997995,0.7709530480491371,0.14915753007651197,12.5,249.3220755338669
10,0.4197111111111111,0.07725233803024054,0.3299627535312803,0.011414086113670414,0.21088131019923181,0.010106657186674372,0.7812082468827232,0.11881852801580092,12.7,279.8983319759369
